Rooms;Type;Size;Price;Address
6;hus;207 m²;26.000  kr.;Brøndby Strand, Gammel Køge Landevej
3;lejlighed;82 m²;11.700  kr.;Taastrup, Jens Kofoeds Gade
3;lejlighed;85 m²;13.850  kr.;København S, Ørestads Boulevard
4;lejlighed;126 m²;20.000  kr.;København S, Øresund Parkvej
1;lejlighed;39 m²;8.400  kr.;Valby, Elstarvej
1;lejlighed;48 m²;9.400  kr.;Valby, Elstarvej
1;lejlighed;48 m²;9.400  kr.;Valby, Elstarvej
2;lejlighed;62 m²;9.980  kr.;Smørum, Rytterparken
4;lejlighed;160 m²;25.500  kr.;København K, Overgaden Neden Vandet
4;lejlighed;110 m²;14.900  kr.;Rødovre, Møllevangen
4;lejlighed;82 m²;11.600  kr.;Hedehusene, Svanegade
2;lejlighed;73 m²;11.500  kr.;Rødovre, Møllevangen
1;lejlighed;37 m²;8.100  kr.;Frederiksberg, Nordens Plads
1;hus;23 m²;7.300  kr.;Dragør, Rosenlundsvej
3;lejlighed;97 m²;13.200  kr.;Ballerup, Postgrunden
1;lejlighed;45 m²;10.300  kr.;Frederiksberg, Nordens Plads
3;lejlighed;113 m²;16.950  kr.;Bagsværd, Bagsværd Hovedgade
4;lejlighed;123 m²;16.492  kr.;Brønshøj, Frederikssundsvej
1;lejlighed;30 m²;9.500  kr.;Hellerup, Gjørlingsvej
1;lejlighed;33 m²;7.450  kr.;Ballerup, Sømoseparken
6;lejlighed;223 m²;34.900  kr.;København K, Østergade
3;lejlighed;91 m²;15.300  kr.;København S, Njalsgade
4;rækkehus;118 m²;16.500  kr.;Vallensbæk, Gulkløvervænget
2;lejlighed;79 m²;11.500  kr.;Herlev, Herlev Ringvej
3;lejlighed;79 m²;12.700  kr.;Ballerup, Baltorpstræde
2;lejlighed;62 m²;11.000  kr.;Ballerup, Baltorpstræde
1;lejlighed;44 m²;9.900  kr.;Ballerup, Baltorpstræde
4;lejlighed;105 m²;13.990  kr.;Herlev, Lyskær
2;lejlighed;66 m²;10.850  kr.;Herlev, Lyskær
1;værelse;10 m²;6.300  kr.;København Ø, Ryparken
2;lejlighed;76 m²;12.200  kr.;Kongens Lyngby, Ulrikkenborg Allé
1;lejlighed;35 m²;9.150  kr.;Frederiksberg C, Svend Trøsts Vej
1;værelse;20 m²;6.500  kr.;Valby, Carl Th. Dreyers Vej
4;lejlighed;79 m²;13.800  kr.;Herlev, Hørkær
4;lejlighed;78 m²;14.200  kr.;Herlev, Hørkær
4;lejlighed;101 m²;14.725  kr.;Rødovre, Irmavej
2;lejlighed;80 m²;14.000  kr.;København S, Klaksvigsgade
3;lejlighed;112 m²;18.850  kr.;Frederiksberg, Marguerite Vibys Plads
1;lejlighed;33 m²;10.500  kr.;København V, Dybbølsbro
2;lejlighed;91 m²;14.850  kr.;København S, Poul Hartlings Gade
4;lejlighed;97 m²;14.200  kr.;Søborg, Gyngemose Parkvej
4;lejlighed;97 m²;14.075  kr.;Søborg, Gyngemose Parkvej
2;lejlighed;73 m²;11.400  kr.;Rødovre, Irmavej
4;lejlighed;100 m²;14.990  kr.;Søborg, Rosendal
2;lejlighed;61 m²;10.305  kr.;Ballerup, Fjerkløvervej
2;lejlighed;68 m²;10.492  kr.;Ballerup, Fjerkløvervej
2;lejlighed;64 m²;10.467  kr.;Ballerup, Guldblommevej
2;lejlighed;60 m²;10.038  kr.;Ballerup, Guldblommevej
2;lejlighed;69 m²;14.600  kr.;København S, Amager Strandvej
1;værelse;14 m²;5.700  kr.;Valby, Vigerslevvej
1;lejlighed;32 m²;7.734  kr.;København NV, Theklavej
1;værelse;16 m²;6.000  kr.;Valby, Vigerslevvej
1;lejlighed;37 m²;7.500  kr.;Frederiksberg, Smallegade
3;lejlighed;87 m²;12.400  kr.;Glostrup, Baneleddet
1;lejlighed;17 m²;5.500  kr.;København N, Skyttegade
4;lejlighed;89 m²;10.900  kr.;Taastrup, Tåstrup Hovedgade
4;lejlighed;97 m²;14.900  kr.;København S, Ørestads Boulevard
4;lejlighed;165 m²;25.163  kr.;Frederiksberg C, Thorvaldsensvej
5;lejlighed;95 m²;17.600  kr.;København S, Gertrude Steins Vej
3;lejlighed;91 m²;15.200  kr.;København S, Ørestads Boulevard
2;lejlighed;49 m²;12.200  kr.;København S, Gertrude Steins Vej
1;værelse;12 m²;3.500  kr.;København S, Gyldenrisvej
1;lejlighed;42 m²;11.000  kr.;København S, Birketinget
5;lejlighed;107 m²;14.900  kr.;København V, Stenosgade
1;lejlighed;69 m²;12.800  kr.;Valby, Valby Langgade
3;lejlighed;251 m²;50.000  kr.;København K, Fredericiagade
2;lejlighed;81 m²;14.500  kr.;København S, Jens Otto Krags Gade
2;lejlighed;62 m²;10.500  kr.;Taastrup, Tommerupgade
2;lejlighed;57 m²;10.000  kr.;Ballerup, Slettebjergvej
5;lejlighed;163 m²;33.279  kr.;København V, Vester Voldgade
2;lejlighed;65 m²;13.000  kr.;København V, Dannebrogsgade
1;lejlighed;36 m²;7.300  kr.;Valby, Torveporten
5;lejlighed;116 m²;15.300  kr.;Brønshøj, Tingbjerg Ås
5;lejlighed;116 m²;15.000  kr.;Brønshøj, Tingbjerg Ås
4;lejlighed;89 m²;13.200  kr.;Brønshøj, Tingbjerg Ås
3;lejlighed;93 m²;12.000  kr.;Brønshøj, Tingbjerg Ås
2;lejlighed;55 m²;9.800  kr.;Brønshøj, Tingbjerg Ås
1;værelse;20 m²;6.080  kr.;Gentofte, Jægersborg Alle
1;lejlighed;31 m²;7.600  kr.;Brønshøj, Kobbelvænget
1;lejlighed;33 m²;7.700  kr.;Brønshøj, Kobbelvænget
1;lejlighed;31 m²;7.800  kr.;Brønshøj, Kobbelvænget
2;lejlighed;71 m²;18.000  kr.;Nordhavn, Sundkaj
3;lejlighed;94 m²;17.100  kr.;København SV, Alliancevej
1;lejlighed;36 m²;5.095  kr.;Ballerup, Telegrafvej
1;lejlighed;36 m²;5.095  kr.;Ballerup, Telegrafvej
3;lejlighed;112 m²;17.649  kr.;Charlottenlund, Lindegårdsvej
4;lejlighed;157 m²;37.400  kr.;København S, Islands Brygge
2;lejlighed;65 m²;16.400  kr.;København V, Lagergade
2;lejlighed;54 m²;10.000  kr.;København N, Bregnerødgade
5;lejlighed;126 m²;22.300  kr.;København V, Bag Elefanterne
5;lejlighed;109 m²;22.300  kr.;København V, Bag Elefanterne
3;lejlighed;98 m²;16.900  kr.;København S, Strandlodsvej
1;lejlighed;31 m²;8.200  kr.;Vanløse, Vanløse Allé
1;lejlighed;29 m²;8.200  kr.;Valby, Poul Bundgaards Vej
1;lejlighed;32 m²;8.150  kr.;Valby, Gammel Køge Landevej
1;lejlighed;31 m²;8.400  kr.;Frederiksberg, Finsensvej
2;lejlighed;51 m²;11.600  kr.;Brønshøj, Gadelandet
1;lejlighed;44 m²;9.950  kr.;København S, Ved Amagerbanen
3;lejlighed;90 m²;12.463  kr.;Brønshøj, Frederikssundsvej
4;lejlighed;90 m²;12.150  kr.;Brøndby, Kirkebjerg Parkvej
